schluessel;kurzform;anzeigeform;langform
63302008-SG;FKGG-SG;Fachkraft für Gastronomie - Schwerpunkt Systemgast;Fachkraft für Gastronomie - Schwerpunkt Systemgastronomie
27212071;TSVIFP;Technische/r Systemplaner/in FR Versorgungs- und A;Technische/r Systemplaner/in FR Versorgungs- und Ausrüstungstechnik
25212452;KUFKHMF;Karosserie- und Fahrzeugbaumechaniker/in FR Kaross;Karosserie- und Fahrzeugbaumechaniker/in FR Karosserie- und Fahrzeugbautechnik Handwerk
73312001-AV;FMI-AV;Fachangestellter für Medien- und Informationsdiens;Fachangestellter für Medien- und Informationsdienste/Fachangestellte für Medien- und Informationsdienste - Fachrichtung Archiv
26122001;ELAT;Elektroniker für Automatisierungstechnik/Elektroni;Elektroniker für Automatisierungstechnik/Elektronikerin für Automatisierungstechnik
22302350;HFHKH;Holzfachwerker/in (§42r HwO);Holzfachwerker/in (§42r HwO)
25102020;IFIMF;Industriefachhelfer/in (§66 BBiG/§42r HwO);Industriefachhelfer/in (§66 BBiG/§42r HwO)
99999028;FSTe-ET-IT;FS Te Fr Elektrotechnik Sp Informationstechnik;FS Te Fr Elektrotechnik Sp Informationstechnik
63402001;VEK;Veranstaltungskaufmann/Veranstaltungskauffrau;Veranstaltungskaufmann/Veranstaltungskauffrau
24413382-KT;MBDSKHMM;Metallbauer/in + duales Studium FR Konstruktionste;Metallbauer/in + duales Studium FR Konstruktionstechnik Handwerk
23212004-DK;MDP-DK;Mediengestalter Digital und Print/Mediengestalteri;Mediengestalter Digital und Print/Mediengestalterin Digital und Print - Fachrichtung Designkonzeption
22102055;VKBIKH;Verfahrensmechaniker/in für Kunststoff- und Kautsc;Verfahrensmechaniker/in für Kunststoff- und Kautschuktechnik  FR Bauteile Industrie
41432002-GT;BSP-GT;Baustoffprüfer/Baustoffprüferin - Fachrichtung Geo;Baustoffprüfer/Baustoffprüferin - Fachrichtung Geotechnik
25232006-TT;FGM-TT;Fluggerätmechaniker/Fluggerätmechanikerin - Fachri;Fluggerätmechaniker/Fluggerätmechanikerin - Fachrichtung Triebwerkstechnik
32113310-DS;BSDSHHT;Beton- und Stahlbetonbauer/in + duales Studium Han;Beton- und Stahlbetonbauer/in + duales Studium Handwerk
12142613;GAGLGF;Gärtner/in FR Garten- und Landschaftsbau;Gärtner/in FR Garten- und Landschaftsbau
23422320-DI;BBDIPD;Buchbinder/in  Druckweiterverarbeitung (Serie) Ind;Buchbinder/in  Druckweiterverarbeitung (Serie) Industrie
21222024;VMKIRK;Verfahrensmechaniker/in in der Steine- und Erdenin;Verfahrensmechaniker/in in der Steine- und Erdenindustrie FR Kalksandsteine oder Porenbeton
21422010;FIFIRK;Figurenkeramformer/in;Figurenkeramformer/in
28332004-SB;MSM-SB;Maßschuhmacher/Maßschuhmacherin - Fachrichtung Sch;Maßschuhmacher/Maßschuhmacherin - Fachrichtung Schaftbau
26212004;FPIE;Fachpraktiker für Industrieelektrik/Fachpraktikeri;Fachpraktiker für Industrieelektrik/Fachpraktikerin für Industrieelektrik
11102005;LWFW;Landwirtschaftsfachwerker/Landwirtschaftsfachwerke;Landwirtschaftsfachwerker/Landwirtschaftsfachwerkerin
83212020;HWIET;Hauswirtschafter/in Industrie;Hauswirtschafter/in Industrie
21232311;SMMHRK;Steinmetz/in und Steinbildhauer/in FR Steinmetzarb;Steinmetz/in und Steinbildhauer/in FR Steinmetzarbeiten
32122010;MAIHT;Maurer/in Industrie;Maurer/in Industrie
