1027_99999088;99999088;Staatl. gepr. informationstech. Assistent/in
1027_29222001;29222001;Bäcker/Bäckerin
1027_63212002;63212002;Kaufmann für Hotelmanagement/Kauffrau für Hotelmanagement
1027_26122001;26122001;Elektroniker für Automatisierungstechnik/Elektronikerin für Automatisierungstechnik
1027_26312005;26312005;Informationselektroniker/Informationselektronikerin
1027_62302007-FL;62302007-FL;Fachpraktiker für Fachverkauf im Lebensmittelhandwerk/Fachpraktikerin für Fachverkauf im Lebensmittelhandwerk - Schwerpunkt Fleischerei
1027_25112002-MT;25112002-MT;Fachkraft für Metalltechnik - Fachrichtung Montagetechnik
1027_33322001;33322001;Zimmerer/Zimmerin
1027_26312002;26312002;Elektroniker für Informations- und Systemtechnik/Elektronikerin für Informations- und Systemtechnik
1027_33302007-FPM;33302007-FPM;Ausbaufacharbeiter/Ausbaufacharbeiterin - Schwerpunkt Fliesen-, Platten- und Mosaikarbeiten
1027_23212003;23212003;Gestalter für immersive Medien/Gestalterin für immersive Medien
1027_43412003-AE-DS;43412003-AE-DS;Fachinformatiker/Fachinformatikerin - Fachrichtung Anwendungsentwicklung (+ duales Studium)
1027_62312001-BA;62312001-BA;Fachverkäufer im Lebensmittelhandwerk/Fachverkäuferin im Lebensmittelhandwerk - Schwerpunkt Bäckerei
1027_27212006-IB;27212006-IB;Bauzeichner/Bauzeichnerin - Schwerpunkt Ingenieurbau
1027_63302006;63302006;Restaurantfachmann/Restaurantfachfrau
1027_32112001;32112001;Beton- und Stahlbetonbauer/Beton- und Stahlbetonbauerin
1027_26312007;26312007;IT-System-Elektroniker/IT-System-Elektronikerin
1027_23212006-PR;23212006-PR;Mediengestalter Digital und Print/Mediengestalterin Digital und Print - Fachrichtung Printmedien
1027_43312001-DV;43312001-DV;Fachinformatiker/Fachinformatikerin - Fachrichtung Digitale Vernetzung
1027_24512003-FM;24512003-FM;Feinwerkmechaniker/Feinwerkmechanikerin - Schwerpunkt Feinmechanik
1027_27212010-PK;27212010-PK;Technischer Produktdesigner/Technische Produktdesignerin - Fachrichtung Produktgestaltung und -konstruktion
1027_92302002;92302002;Medienkaufmann Digital und Print/Medienkauffrau Digital und Print
1027_63302007-RS;63302007-RS;Fachkraft für Gastronomie - Schwerpunkt Restaurantservice
1027_23412003;23412003;Medientechnologe Druck/Medientechnologin Druck
1027_28222009-DS;28222009-DS;Maßschneider/Maßschneiderin - Schwerpunkt Damen
1027_25212012-NT;25212012-NT;Kraftfahrzeugmechatroniker/Kraftfahrzeugmechatronikerin - Schwerpunkt Nutzfahrzeugtechnik
1027_26302004-GS;26302004-GS;Industrieelektriker/Industrieelektrikerin - Fachrichtung Geräte und Systeme
1027_25212011-MT;25212011-MT;Kraftfahrzeugmechatroniker/Kraftfahrzeugmechatronikerin - Schwerpunkt Motorradtechnik
1027_26212003;26212003;Elektroniker für Gebäudesystemintegration/Elektronikerin für Gebäudesystemintegration
1027_33212010-GI;33212010-GI;Maler und Lackierer/Malerin und Lackiererin - Fachrichtung Gestaltung und Instandhaltung
1027_94532002;94532002;Mediengestalter Bild und Ton/Mediengestalterin Bild und Ton
1027_23412004;23412004;Medientechnologe Siebdruck/Medientechnologin Siebdruck
1027_26212006-EG;26212006-EG;Elektroniker/Elektronikerin - Fachrichtung Energie- und Gebäudetechnik
1027_43102001-SI;43102001-SI;Fachinformatiker/Fachinformatikerin - Fachrichtung Systemintegration
1027_25212013-PT;25212013-PT;Kraftfahrzeugmechatroniker/Kraftfahrzeugmechatronikerin - Schwerpunkt Personenkraftwagentechnik
1027_22212001;22212001;Fahrzeuglackierer/Fahrzeuglackiererin
1027_43232003;43232003;Kaufmann für IT-System-Management/Kauffrau für IT-System-Management
1027_62322001-FL;62322001-FL;Fachverkäufer im Lebensmittelhandwerk/Fachverkäuferin im Lebensmittelhandwerk - Schwerpunkt Fleischerei
1027_23212001-GT;23212001-GT;Mediengestalter Digital und Print/Mediengestalterin Digital und Print - Fachrichtung Gestaltung und Technik
1027_93232004-PS;93232004-PS;Raumausstatter/Raumausstatterin - Schwerpunkt Polstern
1027_63302002;63302002;Fachkraft im Gastgewerbe
1027_33222001;33222001;Stuckateur/Stuckateurin
1027_29222008;29222008;Konditor/Konditorin
1027_26213002-DS;26213002-DS;Elektroniker für Betriebstechnik/Elektronikerin für Betriebstechnik (+ duales Studium)
1027_43112003-DP;43112003-DP;Fachinformatiker/Fachinformatikerin - Fachrichtung Daten- und Prozessanalyse
1027_25122310;25122310;Maschinen- und Anlagenführer/in Handwerk
1027_28222010-HS;28222010-HS;Maßschneider/Maßschneiderin - Schwerpunkt Herren
1027_93232002-BO;93232002-BO;Raumausstatter/Raumausstatterin - Schwerpunkt Boden
1027_94512001;94512001;Fachkraft für Veranstaltungstechnik
1027_24512004-MB;24512004-MB;Feinwerkmechaniker/Feinwerkmechanikerin - Schwerpunkt Maschinenbau
1027_61122001-BP;61122001-BP;Mediengestalter Digital und Print/Mediengestalterin Digital und Print - Fachrichtung Beratung und Planung
1027_29232003;29232003;Fleischer/Fleischerin
1027_23212007-PM;23212007-PM;Mediengestalter Digital und Print/Mediengestalterin Digital und Print - Fachrichtung Projektmanagement
1027_93232010;93232010;Raumausstatter/in Industrie
1027_27212013-TSL;27212013-TSL;Bauzeichner/Bauzeichnerin - Schwerpunkt Tief-, Straßen- und Landschaftsbau
1027_23212179;23212179;Mediengestalter/in Digital und Print (ohne FR-Angabe) Industrie
1027_27212004-ET;27212004-ET;Technischer Systemplaner/Technische Systemplanerin - Fachrichtung Elektrotechnische Systeme
1027_26302001;26302001;Elektroniker für Geräte und Systeme/Elektronikerin für Geräte und Systeme
1027_26112002;26112002;Mechatroniker/Mechatronikerin
1027_32202005-RB;32202005-RB;Tiefbaufacharbeiter/Tiefbaufacharbeiterin - Schwerpunkt Rohrleitungsbauarbeiten
1027_32102003-BS;32102003-BS;Hochbaufacharbeiter/Hochbaufacharbeiterin - Schwerpunkt Beton- und Stahlbetonarbeiten
1027_25102004;25102004;Industriemechaniker/Industriemechanikerin
1027_63222001;63222001;Hotelfachmann/Hotelfachfrau
1027_43112002;43112002;Kaufmann für Digitalisierungsmanagement/Kauffrau für Digitalisierungsmanagement
1027_26312012-IT;26312012-IT;Elektroniker/Elektronikerin - Fachrichtung Informations- und Telekommunikationstechnik
1027_26252079;26252079;Industrieelektriker/in (ohne FR-Angabe)
1027_24512006-ZT;24512006-ZT;Feinwerkmechaniker/Feinwerkmechanikerin - Schwerpunkt Zerspanungstechnik
1027_33112001;33112001;Fliesen-, Platten- und Mosaikleger/Fliesen-, Platten- und Mosaiklegerin
1027_26252002-BT;26252002-BT;Industrieelektriker/Industrieelektrikerin - Fachrichtung Betriebstechnik
1027_26213001;26213001;Elektroniker für Betriebstechnik/Elektronikerin für Betriebstechnik
1027_62302002;62302002;Fachpraktiker für Fachverkauf im Lebensmittelhandwerk/Fachpraktikerin für Fachverkauf im Lebensmittelhandwerk - Schwerpunkt Bäckerei
1027_26122002-AS;26122002-AS;Elektroniker/Elektronikerin - Fachrichtung Automatisierungs- und Systemtechnik
1027_62312002-KO;62312002-KO;Fachverkäufer im Lebensmittelhandwerk/Fachverkäuferin im Lebensmittelhandwerk - Schwerpunkt Konditorei
1027_99999070;99999070;FS Mst Feinwerkmechaniker/-in
1027_26302003-DS;26302003-DS;Elektroniker für Geräte und Systeme/Elektronikerin für Geräte und Systeme (+ duales Studium)
1027_63312001;63312001;Fachmann für Systemgastronomie/Fachfrau für Systemgastronomie
1027_21232001-SA;21232001-SA;Steinmetz und Steinbildhauer/Steinmetzin und Steinbildhauerin - Fachrichtung Steinmetzarbeiten
1027_93232003-LSS;93232003-LSS;Raumausstatter/Raumausstatterin - Schwerpunkt Raumdekoration, Licht-, Sicht- und Sonnenschutzanlagen
1027_32222002;32222002;Straßenbauer/Straßenbauerin
1027_63302008-SG;63302008-SG;Fachkraft für Gastronomie - Schwerpunkt Systemgastronomie
1027_25212008-KF;25212008-KF;Karosserie- und Fahrzeugbaumechaniker/Karosserie- und Fahrzeugbaumechanikerin - Fachrichtung Karosserie- und Fahrzeugbautechnik
1027_27302001;27302001;Produktionstechnologe/Produktionstechnologin
1027_29302004;29302004;Koch/Köchin
1027_94512002-AD;94512002-AD;Fachkraft für Veranstaltungstechnik - Schwerpunkt Aufbau und Durchführung
1027_93232006-WD;93232006-WD;Raumausstatter/Raumausstatterin - Schwerpunkt Wand- und Deckendekoration
1027_32122001;32122001;Maurer/Maurerin
1027_25212014-SH;25212014-SH;Kraftfahrzeugmechatroniker/Kraftfahrzeugmechatronikerin - Schwerpunkt System- und Hochvolttechnik
1027_63212001;63212001;Hotelkaufmann/Hotelkauffrau
1027_32202006-SB;32202006-SB;Tiefbaufacharbeiter/Tiefbaufacharbeiterin - Schwerpunkt Straßenbauarbeiten
1027_26122004-DS;26122004-DS;Elektroniker für Automatisierungstechnik/Elektronikerin für Automatisierungstechnik (+ duales Studium)
1027_27212001-AT;27212001-AT;Bauzeichner/Bauzeichnerin - Schwerpunkt Architektur
1027_43103029-DS;43103029-DS;Fachinformatiker/in + duales Studium Industrie
1027_25212009-KI;25212009-KI;Karosserie- und Fahrzeugbaumechaniker/Karosserie- und Fahrzeugbaumechanikerin - Fachrichtung Karosserieinstandhaltungstechnik
1027_23422003;23422003;Medientechnologe Druckverarbeitung/Medientechnologin Druckverarbeitung
1027_43412041;43412041;Fachinformatiker/in FR Anwendungsentwicklung Industrie ausgelaufener Beruf
1027_26312011-GS;26312011-GS;Informationselektroniker/Informationselektronikerin Schwerpunkt Geräte- und Systemtechnik
1027_43102022-SI;43102022-SI;Fachinformatiker/in FR Systemintegration Industrie ausgelaufener Beruf
1027_43412002-AE;43412002-AE;Fachinformatiker/Fachinformatikerin - Fachrichtung Anwendungsentwicklung
1027_93312002-SB;93312002-SB;Steinmetz und Steinbildhauer/Steinmetzin und Steinbildhauerin - Fachrichtung Steinbildhauerarbeiten
1027_99000100-BJ;99000100-BJ;BVJ
1027_27212009-MA;27212009-MA;Technischer Produktdesigner/Technische Produktdesignerin - Fachrichtung Maschinen- und Anlagenkonstruktion
1027_23212002-KV;23212002-KV;Mediengestalter Digital und Print/Mediengestalterin Digital und Print - Fachrichtung Konzeption und Visualisierung
1027_63302003;63302003;Fachmann für Restaurants und Veranstaltungsgastronomie/Fachfrau für Restaurants und Veranstaltungsgastronomie
1027_23212389;23212389;Mediengestalter/in Digital und Print (ohne FR-Angabe) Handwerk
1027_43232005-DS;43232005-DS;Kaufmann für IT-System-Management/Kauffrau für IT-System-Management (+ duales Studium)
1027_32102005-MA;32102005-MA;Hochbaufacharbeiter/Hochbaufacharbeiterin - Schwerpunkt Maurerarbeiten
1027_25122003-MK;25122003-MK;Maschinen- und Anlagenführer/Maschinen- und Anlagenführerin - Schwerpunkt Metall- und Kunststofftechnik
1027_43102002-SI-DS;43102002-SI-DS;Fachinformatiker/Fachinformatikerin - Fachrichtung Systemintegration (+ duales Studium)
