2c969497/85810650/0185/81c0b2a7/0061;2023/24_BF2T_1;BF II Technik (2023/24);1058_8207000T
2c969497/85810650/0185/81c19f1e/0062;2023/24_DBOS_11;Duale Berufsoberschule (2023/24);1058_8800000
2c969497/85810650/0185/81c3b4da/0067;2023/24_BVJ_1;BVJ (2023/24);1058_8101050.1360
2c969497/85810650/0185/81c3fe0f/0068;2023/24_BVJS_1;BVJ Sprachförderung (2023/24);1058_8101060
2c969497/85810650/0185/81bdce3f/0058;2023/24_BGYTM_11;Metalltechnik;1058_8502040
abgelehnte_bewerber_60675_BBS;Abgelehnte Bewerber;Abgelehnte Bewerber;
2c969497/8b1ee258/018b/33ac1513/0b3f;2023/24_BGYTBI;Biologietechnik;1058_8502070
2c969497/85810650/0185/81bceba6/0056;2023/24_BGYTB_11;Bautechnik;1058_8502010
2c969497/85810650/0185/81bdac77/0057;2023/24_BGYTE_11;Elektrotechnik;1058_8502020
2c969497/85810650/0185/81bdeab7/0059;2023/24_BGYTG_11;Gestaltungs- und Medientechnik;1058_8502030
2c969497/85810650/0185/81be2780/005a;2023/24_HBFME_1;Mediendesign;1058_8204980
2c969497/85810650/0185/81be3d5e/005b;2023/24_HBFIT_1;Informationstechnik;1058_8204910
2c969497/85810650/0185/81be5dd7/005c;2023/24_HBFGA_1;Gastronomie;1058_8204990
2c969497/85810650/0185/81be87af/005d;2023/24_BF1GT_E;Elektrotechnik;1058_8206030
2c969497/85810650/0185/81bf5de5/005e;2023/24_BF1GT_M;Metalltechnik;1058_8206030
2c969497/85810650/0185/81bf9be0/005f;2023/24_BF1GT_NA;Nahrung;1058_8206030
2c969497/85810650/0185/81bfd9a6/0060;2023/24_BF1GT_MD;Mediendesign;1058_8206030
2c969497/85810650/0185/81c1fff7/0063;2023/24_BOS1G_12;Gestaltung;1058_8701040
2c969497/85810650/0185/81c2aca6/0064;2023/24_BOS1TI_12;Technik Sp Ingenieurwesen;1058_8701012
2c969497/85810650/0185/81c30170/0065;2023/24_FSTAPD_1;Produktionsautomatisierung;1058_8606011
2c969497/85810650/0185/81c383cf/0066;2023/24_FSTAPZ_1;Prozessautomatisierung;1058_8606012
2c969497/85f8ee07/0186/0c422c46/1732;2023/24_BGYTU_11;Umwelttechnik;1058_8502050
